concertNumber,Date,Location,Time,Venue,eventType,season,programID,orchestra,id
0,1842-12-07T05:00:00Z,"Manhattan, NY",8:00PM,Apollo Rooms,Subscription Season,1842-43,3853,New York Philharmonic,38e072a7-8fc9-4f9a-8eac-3957905c0002
1,1843-02-18T05:00:00Z,"Manhattan, NY",8:00PM,Apollo Rooms,Subscription Season,1842-43,5178,New York Philharmonic,c7b2b95c-5e0b-431c-a340-5b37fc860b34
2,1843-04-07T05:00:00Z,"Manhattan, NY",8:00PM,Apollo Rooms,Special,1842-43,10785,Musicians from the New York Philharmonic,894e1a52-1ae5-4fa7-aec0-b99997555a37
3,1843-04-22T05:00:00Z,"Manhattan, NY",8:00PM,Apollo Rooms,Subscription Season,1842-43,5887,New York Philharmonic,34ec2c2b-3297-4716-9831-b538310462b7
4,1843-11-18T05:00:00Z,"Manhattan, NY",None,Apollo Rooms,Subscription Season,1843-44,305,New York Philharmonic,610a4acc-94e4-4cd6-bdc1-8ad020edc7e9
5,1844-01-13T05:00:00Z,"Manhattan, NY",8:00PM,Apollo Rooms,Subscription Season,1843-44,3368,New York Philharmonic,47b6e9e8-3b18-49ea-ae2a-b9b0ca18902c
6,1844-03-16T05:00:00Z,"Manhattan, NY",None,Apollo Rooms,Subscription Season,1843-44,4226,New York Philharmonic,5e533e4f-d4ac-4aaa-b8d2-e189f6806655
7,1844-05-18T05:00:00Z,"Manhattan, NY",None,Apollo Rooms,Subscription Season,1843-44,5087,New York Philharmonic,7550f75e-5c0c-4519-9196-05a6c4e2612c
8,1844-11-16T05:00:00Z,"Manhattan, NY",8:00PM,Apollo Rooms,Subscription Season,1844-45,6310,New York Philharmonic,91f716fc-090d-4c3b-85da-41122eb3fe96
9,1845-01-11T05:00:00Z,"Manhattan, NY",8:00PM,Apollo Rooms,Subscription Season,1844-45,1979,New York Philharmonic,253d22e1-9d44-410c-ae06-61abe434e5ec
10,1845-03-01T05:00:00Z,"Manhattan, NY",8:00PM,Apollo Rooms,Subscription Season,1844-45,2821,New York Philharmonic,6285c981-8e21-4ef1-afb2-634844dd7edb
11,1845-04-19T05:00:00Z,"Manhattan, NY",8:00PM,Apollo Rooms,Subscription Season,1844-45,3259,New York Philharmonic,bd29d7be-ee14-4362-ae93-4d9c8a535804
12,1845-11-22T05:00:00Z,"Manhattan, NY",8:00PM,Apollo Rooms,Subscription Season,1845-46,4919,New York Philharmonic,4b37d068-0d4b-4ba8-8885-5abefa261e91
13,1846-01-17T05:00:00Z,"Manhattan, NY",8:00PM,Apollo Rooms,Subscription Season,1845-46,562,New York Philharmonic,119e0eaf-077f-49f2-b396-6f7b179fe2d8
14,1846-03-07T05:00:00Z,"Manhattan, NY",8:00PM,Apollo Rooms,Subscription Season,1845-46,1408,New York Philharmonic,676bc63e-0f45-49cd-af5a-f36c31e986a1
15,1846-04-25T05:00:00Z,"Manhattan, NY",8:00PM,Apollo Rooms,Subscription Season,1845-46,1851,New York Philharmonic,fb00e4fb-d935-4b13-aa85-06a4d8d89a16
16,1846-05-20T05:00:00Z,"Manhattan, NY",None,Castle Garden,Special,1845-46,2321,New York Philharmonic,7f9997cb-c3a4-4fc5-b241-2348944ef999
17,1846-11-21T05:00:00Z,"Manhattan, NY",8:00PM,Apollo Rooms,Subscription Season,1846-47,3540,New York Philharmonic,a7ac4233-c065-41e7-9a36-9a5e3f5daa7b
18,1847-01-09T05:00:00Z,"Manhattan, NY",8:00PM,Apollo Rooms,Subscription Season,1846-47,6573,New York Philharmonic,f93b6dcc-2657-44f6-a69d-0d1a5f9dd396
19,1847-03-06T05:00:00Z,"Manhattan, NY",8:00PM,Apollo Rooms,Subscription Season,1846-47,47,New York Philharmonic,b0704cd5-728d-4886-8445-2b0edb1abeb6
20,1847-04-17T05:00:00Z,"Manhattan, NY",8:00PM,Apollo Rooms,Subscription Season,1846-47,450,New York Philharmonic,343cfe16-cb4f-4557-9ed1-9a14e0725d71
21,1847-11-27T05:00:00Z,"Manhattan, NY",8:00PM,Apollo Rooms,Subscription Season,1847-48,2178,New York Philharmonic,2634f6cb-16ee-4e4b-bd16-827db923e294
22,1848-01-15T05:00:00Z,"Manhattan, NY",None,Apollo Rooms,Subscription Season,1847-48,5195,New York Philharmonic,5c46b292-230b-48ba-b4bd-36488059102d
23,1848-02-05T05:00:00Z,"Manhattan, NY",8:00PM,Castle Garden,Special,1847-48,10581,New York Philharmonic,992ef3ad-b771-4f28-9f10-d917cb614a1d
