entry_number,soloist_instrument,soloist_name,soloist_roles,season,program_id,id
0,Soprano,"Otto, Antoinette",S,1842-43,3853,38e072a7-8fc9-4f9a-8eac-3957905c0002
1,Piano,"Scharfenberg, William",A,1842-43,3853,38e072a7-8fc9-4f9a-8eac-3957905c0002
2,Violin,"Hill, Ureli Corelli",A,1842-43,3853,38e072a7-8fc9-4f9a-8eac-3957905c0002
3,Viola,"Derwort, G. H.",A,1842-43,3853,38e072a7-8fc9-4f9a-8eac-3957905c0002
4,Cello,"Boucher, Alfred",A,1842-43,3853,38e072a7-8fc9-4f9a-8eac-3957905c0002
5,Contrabass,"Rosier, F. W.",A,1842-43,3853,38e072a7-8fc9-4f9a-8eac-3957905c0002
7,Tenor,"Horn, Charles Edward",S,1842-43,3853,38e072a7-8fc9-4f9a-8eac-3957905c0002
10,Soprano,"Otto, Antoinette",S,1842-43,5178,c7b2b95c-5e0b-431c-a340-5b37fc860b34
11,Cello,"Boucher, Alfred",S,1842-43,5178,c7b2b95c-5e0b-431c-a340-5b37fc860b34
13,Piano,"Timm, Henry C.",S,1842-43,5178,c7b2b95c-5e0b-431c-a340-5b37fc860b34
15,Soprano,"Otto, Antoinette",S,1842-43,10785,894e1a52-1ae5-4fa7-aec0-b99997555a37
16,Piano,"Timm, Henry C.",A,1842-43,10785,894e1a52-1ae5-4fa7-aec0-b99997555a37
17,Piano,"Scharfenberg, William",S,1842-43,10785,894e1a52-1ae5-4fa7-aec0-b99997555a37
20,Cello,"Boucher, Alfred",S,1842-43,10785,894e1a52-1ae5-4fa7-aec0-b99997555a37
22,Flute,Lehman,A,1842-43,10785,894e1a52-1ae5-4fa7-aec0-b99997555a37
23,Clarinet,"Groneveldt, Theodore W.",A,1842-43,10785,894e1a52-1ae5-4fa7-aec0-b99997555a37
24,Bassoon,"Hegelund, H. W.",A,1842-43,10785,894e1a52-1ae5-4fa7-aec0-b99997555a37
25,French Horn,"Woehning, F. C.",A,1842-43,10785,894e1a52-1ae5-4fa7-aec0-b99997555a37
26,Contrabass,"Rosier, F. W.",A,1842-43,10785,894e1a52-1ae5-4fa7-aec0-b99997555a37
27,,,,1842-43,10785,894e1a52-1ae5-4fa7-aec0-b99997555a37
35,Piano,"Rakeman, Frederick",S,1842-43,10785,894e1a52-1ae5-4fa7-aec0-b99997555a37
43,Oboe,"Wiese, Frederick",A,1842-43,10785,894e1a52-1ae5-4fa7-aec0-b99997555a37
47,Vocalist,"Loder, Edward",S,1842-43,5887,34ec2c2b-3297-4716-9831-b538310462b7
48,Clarinet,"Gröneveldt, W. Theodore",A,1842-43,5887,34ec2c2b-3297-4716-9831-b538310462b7
49,Bassoon,"Reiff, Anton, Sr.",A,1842-43,5887,34ec2c2b-3297-4716-9831-b538310462b7
50,French Horn,"Trojsi, Gaetano",A,1842-43,5887,34ec2c2b-3297-4716-9831-b538310462b7
51,Violin,"Hill, Ureli Corelli",A,1842-43,5887,34ec2c2b-3297-4716-9831-b538310462b7
52,Viola,"Wiegers, Louis",A,1842-43,5887,34ec2c2b-3297-4716-9831-b538310462b7
53,Cello,"Boucher, Alfred",A,1842-43,5887,34ec2c2b-3297-4716-9831-b538310462b7
54,Contrabass,"Rosier, F. W.",A,1842-43,5887,34ec2c2b-3297-4716-9831-b538310462b7
56,Soprano,"Castellan, Jeanne Anais",S,1843-44,305,610a4acc-94e4-4cd6-bdc1-8ad020edc7e9
58,Soprano,"Castellan, Jeanne Anais",S,1843-44,3368,47b6e9e8-3b18-49ea-ae2a-b9b0ca18902c
59,Piano,"Scharfenberg, William",A,1843-44,3368,47b6e9e8-3b18-49ea-ae2a-b9b0ca18902c
60,Flute,"Kyle, John A.",A,1843-44,3368,47b6e9e8-3b18-49ea-ae2a-b9b0ca18902c
61,French Horn,"Woehning, F. C.",A,1843-44,3368,47b6e9e8-3b18-49ea-ae2a-b9b0ca18902c
62,Cello,"Boucher, Alfred",A,1843-44,3368,47b6e9e8-3b18-49ea-ae2a-b9b0ca18902c
63,Oboe,"Wiese, Frederick",A,1843-44,3368,47b6e9e8-3b18-49ea-ae2a-b9b0ca18902c
64,Tenor,Johnson,A,1843-44,3368,47b6e9e8-3b18-49ea-ae2a-b9b0ca18902c
65,Contrabass,"Rosier, F. W.",A,1843-44,3368,47b6e9e8-3b18-49ea-ae2a-b9b0ca18902c
76,Clarinet,"Gröneveldt, W. Theodore",A,1843-44,3368,47b6e9e8-3b18-49ea-ae2a-b9b0ca18902c
78,Bassoon,"Reiff, Anton, Sr.",A,1843-44,3368,47b6e9e8-3b18-49ea-ae2a-b9b0ca18902c
84,Flute,"Kyle, John A.",A,1843-44,4226,5e533e4f-d4ac-4aaa-b8d2-e189f6806655
85,Clarinet,"Gröneveldt, W. Theodore",A,1843-44,4226,5e533e4f-d4ac-4aaa-b8d2-e189f6806655
86,Piano,"Timm, Henry C.",S,1843-44,4226,5e533e4f-d4ac-4aaa-b8d2-e189f6806655
87,Violin,"Vieuxtemps, Henri",S,1843-44,5087,7550f75e-5c0c-4519-9196-05a6c4e2612c
88,Tenor,Valtellina,S,1843-44,5087,7550f75e-5c0c-4519-9196-05a6c4e2612c
89,Vocalist,"Ricci, Amalia",S,1844-45,6310,91f716fc-090d-4c3b-85da-41122eb3fe96
90,Vocalist,Sanquirico,S,1844-45,6310,91f716fc-090d-4c3b-85da-41122eb3fe96
93,Vocalist,"Loder, Edward",S,1844-45,1979,253d22e1-9d44-410c-ae06-61abe434e5ec
94,Clarinet,"Gröneveldt, W. Theodore",S,1844-45,1979,253d22e1-9d44-410c-ae06-61abe434e5ec
97,Vocalist,De Luce,S,1844-45,1979,253d22e1-9d44-410c-ae06-61abe434e5ec
98,Vocalist,Munson,S,1844-45,1979,253d22e1-9d44-410c-ae06-61abe434e5ec
